date,moving_average_new_cases,moving_average_new_vaccinations
2021-07-08,3369.1428571428573,134739.42857142858
2021-07-09,3493.0,127028.71428571429
2021-07-10,3937.8571428571427,121091.85714285714
2021-07-11,4405.714285714285,115907.28571428571
2021-07-12,4892.0,114853.14285714286
2021-07-13,5370.285714285715,116667.57142857143
2021-07-14,5659.142857142857,117098.28571428571
2021-07-15,6004.285714285715,119202.14285714286
2021-07-16,6384.285714285715,122653.85714285714
2021-07-17,6389.714285714285,121878.57142857143
2021-07-18,6291.428571428572,121148.71428571429
2021-07-19,6199.428571428572,117880.71428571429
2021-07-20,6211.142857142857,111503.28571428571
2021-07-21,6274.571428571428,106453.71428571429
2021-07-22,6321.0,102026.42857142857
2021-07-23,6501.857142857143,97663.0
2021-07-24,6691.0,96019.0
2021-07-25,6929.571428571428,93982.57142857143
2021-07-26,7297.285714285715,92542.57142857143
2021-07-27,7537.142857142857,94068.0
2021-07-28,7800.857142857143,93566.57142857143
2021-07-29,8217.714285714286,95120.0
2021-07-30,8340.857142857143,98954.28571428571
2021-07-31,8476.857142857143,105455.42857142857
2021-08-01,8640.142857142857,115560.0
2021-08-02,8767.857142857143,129723.71428571429
2021-08-03,8924.285714285714,143935.42857142858
2021-08-04,9170.857142857143,160771.14285714287
2021-08-05,9176.57142857143,172510.2857142857
2021-08-06,9146.857142857143,178438.57142857142
2021-08-07,9168.285714285714,177219.42857142858
2021-08-08,9170.857142857143,169864.0
2021-08-09,9125.142857142857,156193.0
2021-08-10,8935.285714285714,138472.42857142858
2021-08-11,8836.285714285714,117979.28571428571
2021-08-12,8728.0,102003.14285714286
2021-08-13,8698.714285714286,91531.14285714286
2021-08-14,8616.714285714286,88891.57142857143
2021-08-15,8605.714285714286,97749.14285714286
2021-08-16,8492.714285714286,111080.42857142857
2021-08-17,8666.857142857143,126610.57142857143
2021-08-18,8786.285714285714,143302.14285714287
2021-08-19,8795.0,155462.57142857142
2021-08-20,8906.142857142857,163574.2857142857
2021-08-21,9113.57142857143,164992.0
2021-08-22,9245.57142857143,150608.85714285713
2021-08-23,9375.857142857143,133639.85714285713
2021-08-24,9397.42857142857,118958.57142857143
2021-08-25,9416.714285714286,106245.71428571429
2021-08-26,9412.57142857143,100406.57142857143
2021-08-27,9346.42857142857,98958.0
2021-08-28,9042.857142857143,103291.71428571429
2021-08-29,8630.0,116257.85714285714
2021-08-30,8162.714285714285,131547.7142857143
2021-08-31,7699.142857142857,145772.14285714287
